City,State,Population,Land_Area,Population_Density
Lowell,Massachusetts,110997.0,13.6,8129.0
Centennial,Colorado,110937.0,29.5,3727.0
Elgin,Illinois,110849.0,37.4,2998.0
Richmond,California,110567.0,30.1,3648.0
Peoria,Illinois,110417.0,48.2,2371.0
Broken Arrow,Oklahoma,110198.0,61.7,1741.0
Miami Gardens,Florida,110001.0,18.2,6212.0
Billings,Montana,109577.0,43.7,2525.0
Jurupa Valley,California,109527.0,42.9,2414.0
Sandy Springs,Georgia,109452.0,37.7,2804.0
Gresham,Oregon,109381.0,23.3,4786.0
Lewisville,Texas,109212.0,36.7,2852.0
Hillsboro,Oregon,109128.0,25.0,4207.0
Ventura,California,109106.0,21.8,5027.0
Greeley,Colorado,108649.0,47.8,2176.0
Inglewood,California,108151.0,9.1,12160.0
Waterbury,Connecticut,107568.0,28.5,3799.0
League City,Texas,107536.0,51.2,1992.0
Santa Maria,California,107263.0,22.8,4662.0
Tyler,Texas,106985.0,56.6,1852.0
Davie,Florida,106306.0,34.9,2919.0
Daly City,California,106280.0,7.6,14009.0
Boulder,Colorado,105673.0,24.8,4358.0
Allen,Texas,105623.0,27.1,3715.0
West Covina,California,105101.0,16.0,6740.0
Sparks,Nevada,105006.0,35.9,2810.0
Wichita Falls,Texas,104683.0,72.2,1450.0
Green Bay,Wisconsin,104578.0,45.4,2316.0
San Mateo,California,104430.0,12.1,8592.0
Norwalk,California,103949.0,9.7,10946.0
Rialto,California,103526.0,22.3,4633.0
Las Cruces,New Mexico,103432.0,76.9,1323.0
Chico,California,103301.0,33.3,3102.0
El Cajon,California,102708.0,14.5,7156.0
Burbank,California,102511.0,17.4,6003.0
South Bend,Indiana,102026.0,41.4,2457.0
Renton,Washington,101751.0,23.4,4314.0
Vista,California,101638.0,18.7,5436.0
Davenport,Iowa,101590.0,62.9,1631.0
Edinburg,Texas,101170.0,37.6,2691.0
Tuscaloosa,Alabama,101129.0,71.7,1399.0
Carmel,Indiana,101068.0,47.5,2128.0
Spokane Valley,Washington,101060.0,37.7,2681.0
San Angelo,Texas,101004.0,59.9,1681.0
Vacaville,California,100670.0,29.0,3449.0
Bend,Oregon,100421.0,33.1,3034.0
