zip_code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_age,total_households
82217,157,99.0,0.0,0.0,1.0,10974.0,43.1,36
82219,15,100.0,0.0,0.0,0.0,,,9
82221,584,95.0,0.0,0.0,4.0,11212.0,28.4,200
82222,216,100.0,0.0,0.0,0.0,21361.0,49.9,62
82223,1283,99.0,0.0,0.0,0.0,23799.0,44.3,487
82224,22,100.0,0.0,0.0,0.0,,,6
82225,1994,91.0,0.0,1.0,2.0,26390.0,43.2,855
82227,176,97.0,3.0,0.0,0.0,32602.0,46.9,80
82229,170,100.0,0.0,0.0,0.0,5953.0,9.4,48
82240,10174,84.0,0.0,0.0,13.0,24080.0,41.4,4150
82242,36,100.0,0.0,0.0,0.0,47911.0,53.4,23
82243,98,100.0,0.0,0.0,0.0,24019.0,53.8,29
82244,720,92.0,1.0,0.0,7.0,25750.0,52.5,232
82301,9465,70.0,1.0,1.0,25.0,26090.0,36.3,3516
82321,790,89.0,0.0,0.0,10.0,21445.0,35.0,279
82322,140,100.0,0.0,0.0,0.0,26344.0,39.7,48
82323,175,88.0,0.0,1.0,11.0,28886.0,46.3,43
82324,197,92.0,0.0,0.0,8.0,27615.0,38.3,127
82325,877,99.0,0.0,0.0,0.0,23788.0,40.6,344
82327,792,86.0,0.0,0.0,9.0,22759.0,39.8,355
82329,275,90.0,0.0,0.0,7.0,27024.0,59.8,141
82331,2569,93.0,0.0,0.0,5.0,26716.0,46.2,1022
82332,50,100.0,0.0,0.0,0.0,12618.0,45.4,43
82334,449,94.0,0.0,0.0,5.0,33576.0,36.5,182
82335,17,100.0,0.0,0.0,0.0,,,16
82336,475,72.0,1.0,1.0,17.0,25722.0,42.1,124
82401,7774,82.0,1.0,1.0,15.0,28704.0,41.2,3255
82410,1655,91.0,0.0,1.0,5.0,28673.0,46.2,707
82411,521,85.0,0.0,0.0,13.0,22022.0,34.2,170
82412,743,87.0,0.0,0.0,10.0,19485.0,38.5,196
82414,14826,90.0,1.0,1.0,6.0,28228.0,46.6,6444
82420,764,98.0,0.0,0.0,2.0,20766.0,36.6,320
82421,410,97.0,0.0,0.0,2.0,20960.0,37.0,135
82422,154,85.0,0.0,0.0,10.0,21438.0,71.5,33
82423,205,77.0,1.0,10.0,6.0,17906.0,39.8,103
82426,2969,82.0,0.0,0.0,16.0,23983.0,43.4,1172
82428,42,86.0,0.0,0.0,14.0,38131.0,66.0,39
82430,100,99.0,0.0,0.0,1.0,23992.0,48.9,30
82431,3641,91.0,0.0,0.0,6.0,26787.0,38.7,1344
82432,166,90.0,0.0,0.0,8.0,43960.0,48.8,100
82433,957,93.0,0.0,0.0,5.0,23469.0,45.5,407
82434,214,97.0,0.0,0.0,0.0,24538.0,41.2,55
82435,11912,93.0,0.0,0.0,5.0,26689.0,35.2,4691
82440,146,95.0,0.0,0.0,0.0,12079.0,39.2,74
82441,240,90.0,1.0,0.0,5.0,31873.0,32.8,101
82442,742,97.0,0.0,0.0,0.0,23451.0,52.8,307
82443,4710,95.0,0.0,0.0,3.0,26575.0,49.1,2136
82450,214,100.0,0.0,0.0,0.0,48587.0,33.5,74
82501,19777,75.0,0.0,1.0,8.0,23668.0,35.0,7344
82510,441,14.0,0.0,0.0,5.0,13944.0,30.8,104
82512,197,39.0,0.0,0.0,7.0,22244.0,56.4,67
82513,1805,96.0,0.0,0.0,0.0,27279.0,54.3,920
82514,1390,9.0,2.0,0.0,4.0,16076.0,35.3,447
82515,449,79.0,0.0,0.0,1.0,22174.0,35.2,176
82516,414,52.0,2.0,0.0,8.0,18539.0,50.4,180
82520,13778,68.0,0.0,1.0,4.0,24971.0,39.3,5188
82523,1026,95.0,0.0,0.0,2.0,25357.0,49.4,410
82601,27486,85.0,1.0,1.0,9.0,28726.0,35.9,11651
82604,26325,92.0,0.0,0.0,5.0,30812.0,37.5,10273
82609,16772,87.0,1.0,1.0,8.0,32619.0,37.3,7298
82620,309,81.0,0.0,0.0,16.0,31710.0,31.7,83
82630,78,100.0,0.0,0.0,0.0,32146.0,29.3,10
82633,9513,91.0,0.0,1.0,6.0,33305.0,40.6,4083
82635,397,72.0,0.0,0.0,28.0,19981.0,30.8,112
82636,3850,86.0,1.0,2.0,8.0,26742.0,35.0,1798
82637,4251,88.0,1.0,0.0,8.0,26644.0,38.4,1551
82639,798,99.0,0.0,0.0,1.0,21464.0,39.6,322
82640,35,100.0,0.0,0.0,0.0,24829.0,57.2,8
82642,51,92.0,0.0,0.0,0.0,37871.0,55.8,46
82643,619,95.0,0.0,0.0,4.0,22149.0,30.1,199
82644,1478,94.0,0.0,0.0,4.0,16949.0,33.0,700
82648,19,100.0,0.0,0.0,0.0,,,0
82649,1189,86.0,1.0,0.0,9.0,28683.0,46.2,448
82701,5433,93.0,0.0,0.0,4.0,26823.0,40.5,2134
82710,218,79.0,0.0,0.0,16.0,24930.0,66.6,151
82711,120,100.0,0.0,0.0,0.0,27053.0,56.4,54
82712,401,86.0,0.0,0.0,14.0,27536.0,38.0,158
82714,188,100.0,0.0,0.0,0.0,22048.0,27.6,40
82716,18468,87.0,1.0,1.0,10.0,31697.0,33.4,6830
82718,23189,89.0,1.0,1.0,6.0,36339.0,31.2,8955
82720,1285,100.0,0.0,0.0,0.0,27549.0,41.5,425
82721,2697,97.0,0.0,0.0,3.0,30336.0,41.4,1132
82723,323,100.0,0.0,0.0,0.0,25781.0,46.8,227
82725,212,100.0,0.0,0.0,0.0,27527.0,51.9,79
82727,2511,99.0,0.0,0.0,0.0,31860.0,36.5,715
